PT;EN
Volume -;Volume -
Diminuir o volume;Turn volume down
Volume %;Volume %
Definir o volume;Set volume
Volume +;Volume +
Aumentar o volume;Turn volume up
A iniciar...;Starting...
Vol %d%%, %d kbps;Vol %d%%, %d kbps
Vol %d%%, em pausa;Vol %d%%, paused
Iniciar o rádio;Start radio
Pausa;Pause
Em pausa;Paused
Retomar;Resume
Mudar para %s;Switch to %s
Zapping;Zapping
Percorrer as estações;Loop through stations
Parar de percorrer as estações;Stop looping through stations
Parar o rádio;Stop radio
Sair;Exit
Fechar;Close
